step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
460,5.450633,,,2.760000e-04,0.7530,2512.3,62.0,1138.9,1504.8,65536.0,0,1121.39,2106.62,17.75,2280.0
470,5.430233,,,2.820000e-04,0.7452,2515.9,62.0,1138.9,1537.5,65536.0,0,1120.14,2104.05,17.66,2280.0
480,5.416160,,,2.880000e-04,0.8643,2517.9,62.0,1138.9,1570.1,65536.0,0,1118.44,2102.64,17.73,2280.0
490,5.335313,,,2.940000e-04,0.6801,2515.3,62.0,1138.9,1602.7,65536.0,0,1122.69,2101.91,17.68,2280.0
500,5.341928,5.282336,196.829178,3.000000e-04,0.7823,2516.7,62.0,1138.9,1635.4,65536.0,0,1125.86,2096.48,17.66,2280.0
510,5.305911,,,2.999682e-04,0.7837,2516.6,62.0,1138.9,1671.4,65536.0,0,1118.55,2104.05,17.71,2280.0
520,5.295548,,,2.998728e-04,0.6844,2513.6,62.0,1138.9,1704.0,65536.0,0,1124.88,2101.86,17.69,2280.0
530,5.236897,,,2.997139e-04,0.7906,2514.8,62.0,1138.9,1736.7,65536.0,0,1123.04,2101.93,17.59,2280.0
540,5.213811,,,2.994915e-04,0.7077,2515.5,62.0,1138.9,1769.3,65536.0,0,1119.02,2102.82,17.73,2280.0
550,5.256559,,,2.992057e-04,0.8110,2518.3,61.0,1138.9,1802.0,65536.0,0,1119.67,2100.20,17.73,2280.0
560,5.147846,,,2.988567e-04,0.6649,2514.3,61.0,1138.9,1834.6,65536.0,0,1119.60,2103.83,17.73,2280.0
570,5.206142,,,2.984445e-04,0.7279,2514.2,62.0,1138.9,1867.2,65536.0,0,1119.31,2105.04,17.70,2280.0
580,5.154117,,,2.979694e-04,0.7984,2513.3,62.0,1138.9,1899.9,65536.0,0,1121.00,2106.30,17.69,2280.0
590,5.063619,,,2.974317e-04,0.7551,2516.0,61.0,1138.9,1932.5,65536.0,0,1118.45,2105.39,17.75,2280.0
600,5.152600,,,2.968314e-04,0.7659,2516.9,62.0,1138.9,1965.1,65536.0,0,1120.75,2101.65,17.78,2280.0
610,5.157800,,,2.961690e-04,0.6989,2515.8,62.0,1138.9,1997.8,65536.0,0,1121.21,2102.92,17.76,2280.0
620,5.187463,,,2.954446e-04,0.7423,2515.7,62.0,1138.9,2030.4,65536.0,0,1121.56,2102.86,17.71,2280.0
630,5.160399,,,2.946586e-04,0.6717,2515.4,62.0,1138.9,2063.0,65536.0,0,1121.20,2103.57,17.61,2280.0
640,5.223950,,,2.938113e-04,0.7904,2515.6,62.0,1138.9,2095.7,65536.0,0,1121.21,2103.35,17.63,2280.0
650,5.133036,,,2.929032e-04,0.7216,2512.9,62.0,1138.9,2128.3,65536.0,0,1120.76,2107.34,17.65,2280.0
660,5.001828,,,2.919346e-04,0.6604,2515.9,62.0,1138.9,2161.0,65536.0,0,1118.61,2103.07,17.66,2280.0
670,5.010635,,,2.909059e-04,0.7444,2517.0,62.0,1138.9,2193.6,65536.0,0,1118.76,2103.91,17.67,2280.0
680,5.069043,,,2.898176e-04,0.8613,2515.5,62.0,1138.9,2226.3,65536.0,0,1121.63,2102.73,17.78,2280.0
690,5.035628,,,2.886702e-04,0.7074,2515.6,62.0,1138.9,2258.9,65536.0,0,1119.48,2105.26,17.62,2280.0
700,5.149530,,,2.874641e-04,0.7897,2515.6,62.0,1138.9,2291.6,65536.0,0,1120.45,2104.12,17.62,2280.0
710,5.001130,,,2.861999e-04,0.7201,2515.7,62.0,1138.9,2324.2,65536.0,0,1118.64,2105.13,17.73,2280.0
720,4.941273,,,2.848782e-04,0.7561,2514.1,62.0,1138.9,2356.9,65536.0,0,1123.63,2102.68,17.72,2280.0
730,4.871321,,,2.834995e-04,0.7003,2513.3,62.0,1138.9,2389.5,65536.0,0,1119.62,2107.23,17.74,2280.0
740,4.936463,,,2.820645e-04,0.6930,2517.2,62.0,1138.9,2422.1,65536.0,0,1120.58,2101.79,17.73,2280.0
