step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
460,5.450641,,,2.760000e-04,0.7530,2187.1,61.0,1139.5,1732.1,65536.0,0,1109.51,2604.88,17.53,2280.0
470,5.430226,,,2.820000e-04,0.7449,2185.1,61.0,1139.5,1769.7,65536.0,0,1110.79,2606.33,17.54,2280.0
480,5.416168,,,2.880000e-04,0.8639,2185.4,61.0,1139.5,1807.2,65536.0,0,1110.65,2605.74,17.50,2280.0
490,5.335313,,,2.940000e-04,0.6801,2187.1,61.0,1139.5,1844.8,65536.0,0,1110.11,2603.22,17.55,2280.0
500,5.341936,5.282353,196.832550,3.000000e-04,0.7824,2186.4,61.0,1139.5,1882.3,65536.0,0,1110.67,2604.15,17.65,2280.0
510,5.305895,,,2.999682e-04,0.7837,2186.0,61.0,1139.5,1923.3,65536.0,0,1111.62,2603.21,17.51,2280.0
520,5.295547,,,2.998728e-04,0.6843,2183.9,61.0,1139.5,1960.9,65536.0,0,1110.92,2605.76,17.46,2280.0
530,5.236966,,,2.997139e-04,0.7910,2183.8,61.0,1139.5,1998.4,65536.0,0,1109.36,2607.64,17.66,2280.0
540,5.213843,,,2.994915e-04,0.7078,2184.9,61.0,1139.5,2036.0,65536.0,0,1112.19,2605.17,17.66,2280.0
550,5.256571,,,2.992057e-04,0.8112,2184.7,61.0,1139.5,2073.6,65536.0,0,1111.09,2604.84,18.10,2280.0
560,5.147860,,,2.988567e-04,0.6651,2182.6,61.0,1139.5,2111.1,65536.0,0,1109.93,2608.60,17.62,2280.0
570,5.206136,,,2.984445e-04,0.7278,2185.1,61.0,1139.5,2148.7,65536.0,0,1110.00,2604.89,17.50,2280.0
580,5.154163,,,2.979694e-04,0.7987,2185.3,61.0,1139.5,2186.3,65536.0,0,1111.23,2605.60,17.60,2280.0
590,5.063613,,,2.974317e-04,0.7552,2181.4,61.0,1139.5,2223.9,65536.0,0,1108.69,2614.37,17.56,2280.0
600,5.152619,,,2.968314e-04,0.7660,2184.3,61.0,1139.5,2261.5,65536.0,0,1109.69,2608.30,17.58,2280.0
610,5.157830,,,2.961690e-04,0.6990,2182.5,61.0,1139.5,2299.0,65536.0,0,1108.58,2612.88,17.49,2280.0
620,5.187488,,,2.954446e-04,0.7423,2184.3,61.0,1139.5,2336.6,65536.0,0,1110.19,2604.07,17.47,2280.0
630,5.160416,,,2.946586e-04,0.6717,2185.2,61.0,1139.5,2374.2,65536.0,0,1109.64,2607.51,17.55,2280.0
640,5.223928,,,2.938113e-04,0.7905,2185.6,61.0,1139.5,2411.8,65536.0,0,1110.04,2605.97,17.59,2280.0
650,5.133083,,,2.929032e-04,0.7219,2184.4,61.0,1139.5,2449.3,65536.0,0,1109.90,2608.65,17.57,2280.0
660,5.001801,,,2.919346e-04,0.6603,2177.8,62.0,1139.5,2486.9,65536.0,0,1116.62,2610.98,17.57,2280.0
670,5.010633,,,2.909059e-04,0.7445,2150.2,61.0,1139.5,2524.7,65536.0,0,1125.19,2648.77,18.83,2280.0
680,5.069069,,,2.898176e-04,0.8615,2186.0,61.0,1139.5,2562.3,65536.0,0,1110.36,2605.24,17.59,2280.0
690,5.035592,,,2.886702e-04,0.7073,2185.3,61.0,1139.5,2599.9,65536.0,0,1112.48,2604.58,17.56,2280.0
700,5.149532,,,2.874641e-04,0.7897,2185.8,61.0,1139.5,2637.5,65536.0,0,1109.45,2606.02,17.60,2280.0
710,5.001145,,,2.861999e-04,0.7199,2180.2,62.0,1139.5,2675.0,65536.0,0,1111.39,2612.42,17.53,2280.0
720,4.941280,,,2.848782e-04,0.7560,2185.9,62.0,1139.5,2712.6,65536.0,0,1110.17,2605.43,17.55,2280.0
730,4.871325,,,2.834995e-04,0.7002,2183.1,61.0,1139.5,2750.2,65536.0,0,1112.26,2608.37,17.59,2280.0
740,4.936492,,,2.820645e-04,0.6929,2182.3,61.0,1139.5,2787.8,65536.0,0,1110.01,2609.74,17.61,2280.0
750,4.945738,,,2.805737e-04,0.7485,2183.0,61.0,1139.5,2825.3,65536.0,0,1111.39,2607.84,17.50,2280.0
760,4.885242,,,2.790279e-04,0.7268,2185.3,61.0,1139.5,2862.9,65536.0,0,1110.82,2605.95,17.68,2280.0
770,4.882102,,,2.774275e-04,0.7726,2164.6,62.0,1139.5,2900.6,65536.0,0,1116.61,2635.89,17.47,2280.0
780,4.831392,,,2.757736e-04,0.7571,2180.8,61.0,1139.5,2938.2,65536.0,0,1110.80,2611.91,17.50,2280.0
790,4.899021,,,2.740666e-04,0.7761,2176.0,61.0,1139.5,2975.8,65536.0,0,1120.03,2612.36,17.59,2280.0
800,4.825024,,,2.723075e-04,0.7692,2181.9,62.0,1139.5,3013.5,65536.0,0,1112.90,2609.46,17.68,2280.0
810,4.782686,,,2.704969e-04,0.7262,2183.2,62.0,1139.5,3051.1,65536.0,0,1110.82,2609.58,17.52,2280.0
820,4.962515,,,2.686356e-04,0.7320,2180.8,61.0,1139.5,3088.7,65536.0,0,1114.34,2609.92,17.61,2280.0
830,4.907418,,,2.667244e-04,0.7401,2183.3,61.0,1139.5,3126.3,65536.0,0,1110.21,2610.13,17.62,2280.0
840,4.867519,,,2.647643e-04,0.7443,2179.6,62.0,1139.5,3163.9,65536.0,0,1111.63,2615.02,17.43,2280.0
850,4.818351,,,2.627560e-04,0.7299,2180.1,62.0,1139.5,3201.5,65536.0,0,1113.94,2611.43,17.66,2280.0
860,4.813861,,,2.607005e-04,0.6921,2180.7,62.0,1139.5,3239.2,65536.0,0,1113.48,2610.90,17.57,2280.0
870,4.848765,,,2.585985e-04,0.6906,2179.7,62.0,1139.5,3276.8,65536.0,0,1111.49,2614.32,17.67,2280.0
880,4.731237,,,2.564512e-04,0.7045,2180.5,62.0,1139.5,3314.4,65536.0,0,1110.74,2614.05,17.52,2280.0
890,4.732190,,,2.542594e-04,0.7111,2179.9,62.0,1139.5,3352.1,65536.0,0,1114.90,2610.55,17.64,2280.0
900,4.764175,,,2.520240e-04,0.7433,2177.8,62.0,1139.5,3389.7,65536.0,0,1114.66,2614.34,17.65,2280.0
910,4.811819,,,2.497460e-04,0.6918,2181.3,62.0,1139.5,3427.4,65536.0,0,1111.24,2611.59,17.61,2280.0
920,4.802534,,,2.474265e-04,0.7009,2176.8,62.0,1139.5,3465.1,65536.0,0,1114.80,2616.55,17.53,2280.0
930,4.779326,,,2.450664e-04,0.7146,2178.2,62.0,1139.5,3502.7,65536.0,0,1116.13,2612.42,17.68,2280.0
940,4.748175,,,2.426669e-04,0.6986,2182.6,62.0,1139.5,3540.3,65536.0,0,1110.41,2610.72,17.53,2280.0
950,4.754605,,,2.402289e-04,0.7488,2181.1,62.0,1139.5,3578.0,65536.0,0,1113.03,2610.34,18.12,2280.0
960,4.744594,,,2.377535e-04,0.7463,2177.9,62.0,1139.5,3615.6,65536.0,0,1115.47,2613.13,17.57,2280.0
970,4.697911,,,2.352418e-04,0.7184,2179.6,62.0,1139.5,3653.3,65536.0,0,1113.57,2613.05,17.61,2280.0
980,4.637092,,,2.326949e-04,0.7361,2178.8,62.0,1139.5,3690.9,65536.0,0,1111.71,2616.01,17.62,2280.0
