step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
460,5.450646,,,2.760000e-04,0.7531,1870.4,62.0,1126.9,2020.0,65536.0,0,1166.07,3185.38,17.54,2280.0
470,5.430243,,,2.820000e-04,0.7452,1872.8,62.0,1126.9,2063.8,65536.0,0,1162.85,3183.40,17.72,2280.0
480,5.416173,,,2.880000e-04,0.8644,1872.8,62.0,1126.9,2107.6,65536.0,0,1162.20,3183.43,17.63,2280.0
490,5.335315,,,2.940000e-04,0.6802,1870.0,62.0,1126.9,2151.5,65536.0,0,1161.50,3190.73,17.54,2280.0
500,5.341935,5.282357,196.833313,3.000000e-04,0.7821,1871.5,62.0,1126.9,2195.3,65536.0,0,1161.64,3187.22,17.52,2280.0
510,5.305914,,,2.999682e-04,0.7836,1871.3,62.0,1126.9,2242.7,65536.0,0,1162.56,3186.56,17.60,2280.0
520,5.295564,,,2.998728e-04,0.6844,1871.9,62.0,1126.9,2286.6,65536.0,0,1160.84,3187.53,17.55,2280.0
530,5.236911,,,2.997139e-04,0.7907,1872.8,62.0,1126.9,2330.4,65536.0,0,1163.61,3182.79,17.61,2280.0
540,5.213827,,,2.994915e-04,0.7078,1872.6,62.0,1126.9,2374.2,65536.0,0,1164.40,3181.76,17.69,2280.0
550,5.256573,,,2.992057e-04,0.8111,1872.7,62.0,1126.9,2418.0,65536.0,0,1164.81,3180.95,17.47,2280.0
560,5.147872,,,2.988567e-04,0.6650,1873.4,62.0,1126.9,2461.8,65536.0,0,1161.69,3183.48,17.54,2280.0
570,5.206134,,,2.984445e-04,0.7278,1869.5,62.0,1126.9,2505.7,65536.0,0,1161.88,3192.75,17.56,2280.0
580,5.154142,,,2.979694e-04,0.7986,1872.6,61.0,1126.9,2549.5,65536.0,0,1163.93,3182.05,17.66,2280.0
590,5.063633,,,2.974317e-04,0.7552,1872.8,61.0,1126.9,2593.3,65536.0,0,1166.26,3180.84,17.46,2280.0
600,5.152617,,,2.968314e-04,0.7659,1873.7,62.0,1126.9,2637.1,65536.0,0,1161.18,3183.61,17.53,2280.0
610,5.157838,,,2.961690e-04,0.6989,1874.7,61.0,1126.9,2680.9,65536.0,0,1161.83,3179.70,17.57,2280.0
620,5.187476,,,2.954446e-04,0.7424,1874.7,62.0,1126.9,2724.7,65536.0,0,1161.39,3180.89,17.49,2280.0
630,5.160411,,,2.946586e-04,0.6717,1875.4,61.0,1126.9,2768.4,65536.0,0,1160.15,3180.28,17.50,2280.0
640,5.223947,,,2.938113e-04,0.7906,1875.0,61.0,1126.9,2812.2,65536.0,0,1161.97,3179.87,17.47,2280.0
650,5.133067,,,2.929032e-04,0.7217,1873.5,62.0,1126.9,2856.0,65536.0,0,1161.82,3182.74,17.65,2280.0
660,5.001808,,,2.919346e-04,0.6603,1875.1,61.0,1126.9,2899.7,65536.0,0,1161.01,3179.57,17.48,2280.0
670,5.010648,,,2.909059e-04,0.7445,1871.4,62.0,1126.9,2943.5,65536.0,0,1159.35,3190.35,17.56,2280.0
680,5.069050,,,2.898176e-04,0.8615,1873.7,61.0,1126.9,2987.3,65536.0,0,1160.99,3183.38,17.52,2280.0
690,5.035667,,,2.886702e-04,0.7074,1874.8,61.0,1126.9,3031.1,65536.0,0,1160.85,3180.93,17.52,2280.0
700,5.149542,,,2.874641e-04,0.7897,1873.4,61.0,1126.9,3074.9,65536.0,0,1162.35,3182.58,17.66,2280.0
710,5.001139,,,2.861999e-04,0.7200,1870.6,62.0,1126.9,3118.7,65536.0,0,1166.39,3185.18,17.72,2280.0
720,4.941298,,,2.848782e-04,0.7560,1874.1,61.0,1126.9,3162.5,65536.0,0,1162.43,3181.02,17.49,2280.0
730,4.871378,,,2.834995e-04,0.7003,1872.0,61.0,1126.9,3206.3,65536.0,0,1166.69,3180.60,17.55,2280.0
740,4.936482,,,2.820645e-04,0.6927,1874.8,61.0,1126.9,3250.1,65536.0,0,1163.94,3177.84,17.54,2280.0
750,4.945709,,,2.805737e-04,0.7480,1873.1,61.0,1126.9,3293.9,65536.0,0,1161.44,3184.11,17.68,2280.0
760,4.885220,,,2.790279e-04,0.7271,1872.2,61.0,1126.9,3337.7,65536.0,0,1161.10,3187.00,17.55,2280.0
770,4.882058,,,2.774275e-04,0.7724,1874.1,61.0,1126.9,3381.5,65536.0,0,1159.61,3183.80,17.50,2280.0
780,4.831386,,,2.757736e-04,0.7571,1874.7,61.0,1126.9,3425.2,65536.0,0,1161.36,3180.68,17.52,2280.0
790,4.898995,,,2.740666e-04,0.7763,1875.1,61.0,1126.9,3469.0,65536.0,0,1160.36,3180.71,17.59,2280.0
800,4.825038,,,2.723075e-04,0.7694,1875.8,61.0,1126.9,3512.8,65536.0,0,1159.02,3180.73,17.52,2280.0
810,4.782667,,,2.704969e-04,0.7261,1876.3,61.0,1126.9,3556.5,65536.0,0,1160.88,3177.29,17.55,2280.0
820,4.962474,,,2.686356e-04,0.7319,1874.3,61.0,1126.9,3600.3,65536.0,0,1159.66,3183.23,17.61,2280.0
830,4.907434,,,2.667244e-04,0.7402,1875.4,61.0,1126.9,3644.1,65536.0,0,1160.40,3180.40,17.47,2280.0
840,4.867562,,,2.647643e-04,0.7445,1875.7,62.0,1126.9,3687.9,65536.0,0,1160.79,3178.70,17.56,2280.0
850,4.818378,,,2.627560e-04,0.7297,1875.0,61.0,1126.9,3731.6,65536.0,0,1159.57,3181.74,17.56,2280.0
860,4.813815,,,2.607005e-04,0.6919,1874.8,61.0,1126.9,3775.4,65536.0,0,1161.35,3180.38,17.64,2280.0
870,4.848850,,,2.585985e-04,0.6907,1875.0,61.0,1126.9,3819.2,65536.0,0,1161.39,3179.32,17.54,2280.0
880,4.731254,,,2.564512e-04,0.7045,1874.4,61.0,1126.9,3862.9,65536.0,0,1160.73,3181.38,17.71,2280.0
890,4.732152,,,2.542594e-04,0.7110,1872.6,61.0,1126.9,3906.7,65536.0,0,1162.07,3184.35,17.52,2280.0
900,4.764226,,,2.520240e-04,0.7435,1873.9,62.0,1126.9,3950.5,65536.0,0,1161.55,3181.63,17.59,2280.0
910,4.811851,,,2.497460e-04,0.6919,1872.0,61.0,1126.9,3994.3,65536.0,0,1163.75,3184.46,17.54,2280.0
920,4.802502,,,2.474265e-04,0.7010,1870.4,61.0,1126.9,4038.1,65536.0,0,1164.24,3186.22,18.22,2280.0
930,4.779388,,,2.450664e-04,0.7146,1873.8,61.0,1126.9,4081.9,65536.0,0,1162.73,3181.49,17.54,2280.0
940,4.748231,,,2.426669e-04,0.6987,1871.8,61.0,1126.9,4125.8,65536.0,0,1161.66,3185.90,17.49,2280.0
950,4.754622,,,2.402289e-04,0.7486,1872.2,61.0,1126.9,4169.6,65536.0,0,1163.22,3184.20,17.51,2280.0
960,4.744598,,,2.377535e-04,0.7462,1873.2,61.0,1126.9,4213.4,65536.0,0,1164.23,3180.68,17.67,2280.0
970,4.697965,,,2.352418e-04,0.7188,1872.8,61.0,1126.9,4257.2,65536.0,0,1161.71,3184.12,17.64,2280.0
980,4.637099,,,2.326949e-04,0.7360,1872.1,61.0,1126.9,4301.0,65536.0,0,1164.06,3183.59,17.57,2280.0
990,4.683196,,,2.301139e-04,0.7410,1872.8,61.0,1126.9,4344.8,65536.0,0,1162.26,3184.16,17.62,2280.0
1000,4.685727,4.684700,108.277786,2.275000e-04,0.7069,1874.3,61.0,1126.9,4388.6,65536.0,0,1160.72,3182.01,17.55,2280.0
1010,4.642733,,,2.248543e-04,0.7326,1872.9,61.0,1126.9,4436.0,65536.0,0,1161.91,3183.39,17.50,2280.0
1020,4.663682,,,2.221779e-04,0.7476,1873.5,61.0,1126.9,4479.8,65536.0,0,1162.56,3182.38,17.62,2280.0
1030,4.674240,,,2.194721e-04,0.7386,1872.4,61.0,1126.9,4523.6,65536.0,0,1162.33,3185.19,17.56,2280.0
1040,4.703237,,,2.167380e-04,0.6885,1872.9,61.0,1126.9,4567.4,65536.0,0,1163.44,3182.26,17.55,2280.0
1050,4.637812,,,2.139768e-04,0.7048,1872.2,61.0,1126.9,4611.2,65536.0,0,1162.75,3184.92,17.55,2280.0
1060,4.685013,,,2.111898e-04,0.7017,1872.2,62.0,1126.9,4655.0,65536.0,0,1161.91,3185.27,17.54,2280.0
1070,4.775358,,,2.083781e-04,0.7493,1872.9,62.0,1126.9,4698.8,65536.0,0,1163.63,3182.00,17.69,2280.0
1080,4.622743,,,2.055430e-04,0.7297,1871.0,61.0,1126.9,4742.6,65536.0,0,1162.54,3187.67,17.47,2280.0
1090,4.567739,,,2.026857e-04,0.6998,1874.5,61.0,1126.9,4786.4,65536.0,0,1162.79,3179.80,17.61,2280.0
1100,4.620404,,,1.998075e-04,0.7523,1874.8,61.0,1126.9,4830.1,65536.0,0,1163.15,3177.97,17.95,2280.0
1110,4.650005,,,1.969096e-04,0.7868,1874.5,61.0,1126.9,4873.9,65536.0,0,1161.33,3180.91,17.61,2280.0
1120,4.555159,,,1.939934e-04,0.6845,1873.8,62.0,1126.9,4917.7,65536.0,0,1161.23,3182.56,17.50,2280.0
1130,4.622380,,,1.910601e-04,0.7215,1873.9,62.0,1126.9,4961.5,65536.0,0,1162.93,3180.67,17.57,2280.0
1140,4.701071,,,1.881109e-04,0.7176,1872.8,62.0,1126.9,5005.3,65536.0,0,1160.94,3184.70,17.52,2280.0
1150,4.460477,,,1.851472e-04,0.7274,1868.9,62.0,1126.9,5049.1,65536.0,0,1160.51,3194.62,17.57,2280.0
1160,4.476909,,,1.821703e-04,0.7278,1872.7,62.0,1126.9,5092.9,65536.0,0,1161.85,3184.97,17.52,2280.0
1170,4.410923,,,1.791815e-04,0.7528,1872.4,62.0,1126.9,5136.8,65536.0,0,1161.40,3185.45,17.51,2280.0
1180,4.556096,,,1.761820e-04,0.7475,1872.7,62.0,1126.9,5180.6,65536.0,0,1162.39,3184.26,17.57,2280.0
1190,4.506891,,,1.731733e-04,0.7358,1874.4,62.0,1126.9,5224.4,65536.0,0,1161.85,3180.12,17.56,2280.0
1200,4.580957,,,1.701566e-04,0.7461,1873.1,62.0,1126.9,5268.2,65536.0,0,1161.03,3183.66,17.49,2280.0
