step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.156053,,,0.000000e+00,11.5445,1696.0,57.0,1236.4,7.2,65536.0,0,1951.66,5260.60,17.82,2280.0
10,8.480175,,,6.000000e-06,5.7237,1676.2,63.0,1236.4,80.6,65536.0,0,1971.62,5324.74,18.98,2280.0
20,8.039642,,,1.200000e-05,2.3791,1669.3,64.0,1236.4,154.3,65536.0,0,1987.79,5338.31,20.60,2280.0
30,7.938649,,,1.800000e-05,1.9440,1668.2,65.0,1236.4,228.1,65536.0,0,1987.01,5345.02,18.69,2280.0
40,7.779279,,,2.400000e-05,1.7945,1663.5,63.0,1236.4,302.0,65536.0,0,1985.26,5365.55,20.49,2280.0
