step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
0,9.150657,,,0.000000e+00,11.0512,1683.9,65.0,1126.9,4.9,65536.0,0,1287.15,3542.19,19.62,2176.0
10,8.491112,,,6.000000e-06,5.8800,1664.4,66.0,1126.9,53.9,65536.0,0,1303.10,3583.79,18.99,2176.0
20,8.052705,,,1.200000e-05,2.4420,1672.3,66.0,1126.9,103.0,65536.0,0,1297.61,3565.48,19.52,2176.0
30,7.941469,,,1.800000e-05,2.0615,1674.7,66.0,1126.9,152.4,65536.0,0,1298.17,3557.88,19.84,2176.0
40,7.811246,,,2.400000e-05,1.7685,1667.8,66.0,1126.9,201.4,65536.0,0,1296.88,3579.09,20.64,2176.0
